frame,person_box,alert,reason
70,"(671, 186, 795, 368)",0,none
71,"(280, 29, 351, 218)",0,none
71,"(485, 0, 527, 41)",0,none
71,"(698, 81, 780, 219)",0,none
71,"(673, 185, 795, 376)",0,none
72,"(280, 31, 351, 218)",0,none
72,"(667, 186, 793, 375)",0,none
72,"(704, 81, 780, 217)",0,none
73,"(281, 29, 351, 218)",0,none
73,"(662, 187, 794, 391)",0,none
73,"(705, 81, 780, 214)",0,none
74,"(281, 29, 352, 217)",0,none
74,"(701, 81, 780, 217)",0,none
74,"(670, 186, 797, 379)",0,none
75,"(281, 30, 352, 217)",0,none
75,"(699, 82, 780, 217)",0,none
75,"(673, 189, 794, 373)",0,none
76,"(279, 29, 352, 216)",0,none
76,"(703, 81, 780, 216)",0,none
76,"(673, 188, 795, 368)",0,none
76,"(476, 0, 512, 36)",0,none
76,"(504, 0, 553, 52)",0,none
77,"(278, 31, 352, 217)",0,none
77,"(698, 81, 780, 220)",0,none
77,"(672, 188, 794, 364)",0,none
78,"(278, 30, 351, 217)",0,none
78,"(699, 81, 781, 217)",0,none
78,"(671, 185, 793, 373)",0,none
78,"(539, 0, 583, 65)",0,none
78,"(431, 1, 468, 42)",0,none
79,"(280, 32, 351, 217)",0,none
79,"(670, 183, 794, 377)",0,none
79,"(702, 81, 780, 208)",0,none
80,"(282, 30, 351, 217)",0,none
80,"(668, 183, 795, 378)",0,none
80,"(476, 0, 531, 62)",0,none
80,"(696, 80, 780, 211)",0,none
81,"(281, 19, 354, 216)",0,none
81,"(707, 81, 780, 201)",0,none
81,"(673, 187, 795, 349)",0,none
81,"(712, 187, 795, 344)",0,none
82,"(290, 13, 364, 217)",0,none
82,"(701, 81, 780, 215)",0,none
82,"(670, 189, 793, 381)",0,none
83,"(285, 13, 348, 236)",0,none
83,"(704, 81, 780, 212)",0,none
83,"(671, 188, 796, 369)",0,none
84,"(240, 19, 320, 237)",0,none
84,"(671, 188, 794, 377)",0,none
84,"(702, 81, 780, 216)",0,none
85,"(206, 32, 275, 269)",0,none
85,"(697, 81, 780, 222)",0,none
85,"(674, 187, 798, 365)",0,none
86,"(178, 44, 244, 268)",0,none
86,"(702, 81, 780, 215)",0,none
86,"(672, 187, 795, 376)",0,none
87,"(698, 81, 780, 217)",0,none
87,"(155, 45, 221, 248)",0,none
87,"(674, 190, 797, 378)",0,none
88,"(699, 82, 780, 220)",0,none
88,"(142, 35, 218, 245)",0,none
88,"(674, 190, 797, 371)",0,none
89,"(147, 46, 219, 266)",0,none
89,"(699, 81, 780, 215)",0,none
89,"(675, 191, 797, 373)",0,none
90,"(154, 45, 219, 265)",0,none
90,"(697, 81, 780, 215)",0,none
90,"(674, 188, 797, 373)",0,none
91,"(153, 43, 218, 265)",0,none
91,"(698, 81, 780, 215)",0,none
91,"(673, 190, 796, 377)",0,none
92,"(157, 44, 219, 265)",0,none
92,"(696, 82, 780, 219)",0,none
92,"(673, 184, 804, 377)",0,none
93,"(156, 43, 219, 265)",0,none
93,"(699, 81, 780, 215)",0,none
93,"(684, 189, 795, 348)",0,none
94,"(157, 44, 219, 265)",0,none
94,"(694, 80, 780, 222)",0,none
94,"(671, 188, 792, 368)",0,none
95,"(154, 41, 219, 263)",0,none
95,"(694, 80, 775, 223)",0,none
